bed,aimedat,average,,min 20  darts at double
o16,d7,93.23,,
o19,d7,93.23,,
d16,d7,93.23,,
o19,d7,93.23,,
d7,d7,94.25,,
d7,d7,94.25,,
d7,d7,94.25,,
d7,d7,94.25,,
d7,d7,94.25,,
d7,d7,94.25,,
d7,d7,94.25,,
d7,d7,94.25,,
d7,d7,94.25,,
d7,d7,94.25,,
d7,d7,94.25,,
d7,d7,94.25,,
d7,d7,94.25,,
d7,d7,94.25,,
d7,d7,94.25,,
d7,d7,94.25,,
o7,d7,94.25,,
o7,d7,94.25,,
o7,d7,94.25,,
o7,d7,94.25,,
o7,d7,94.25,,
o7,d7,94.25,,
o7,d7,94.25,,
o7,d7,94.25,,
o7,d7,94.25,,
o7,d7,94.25,,
o7,d7,94.25,,
m7,d7,94.25,,
m7,d7,94.25,,
m7,d7,94.25,,
m7,d7,94.25,,
m7,d7,94.25,,
m7,d7,94.25,,
m7,d7,94.25,,
m7,d7,94.25,,
m7,d7,94.25,,
m7,d7,94.25,,
d7,d7,98.58,,
d7,d7,98.58,,
d7,d7,98.58,,
d7,d7,98.58,,
d7,d7,98.58,,
d7,d7,98.58,,
d7,d7,98.58,,
d7,d7,98.58,,
d7,d7,98.58,,
d7,d7,98.58,,
d7,d7,98.58,,
d7,d7,98.58,,
d7,d7,98.58,,
d7,d7,98.58,,
d7,d7,98.58,,
d7,d7,98.58,,
d7,d7,98.58,,
o7,d7,98.58,,
o7,d7,98.58,,
o7,d7,98.58,,
o7,d7,98.58,,
o7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
m7,d7,98.58,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
d7,d7,95.32,,
o7,d7,95.32,,
o7,d7,95.32,,
o7,d7,95.32,,
o7,d7,95.32,,
o7,d7,95.32,,
o7,d7,95.32,,
o7,d7,95.32,,
o7,d7,95.32,,
o7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
m7,d7,95.32,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
d7,d7,93.35,,
o7,d7,93.35,,
o7,d7,93.35,,
o7,d7,93.35,,
o7,d7,93.35,,
o7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
m7,d7,93.35,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
d7,d7,95.59,,
o7,d7,95.59,,
o7,d7,95.59,,
o7,d7,95.59,,
o7,d7,95.59,,
o7,d7,95.59,,
o7,d7,95.59,,
o7,d7,95.59,,
o7,d7,95.59,,
o7,d7,95.59,,
o7,d7,95.59,,
o7,d7,95.59,,
o7,d7,95.59,,
o7,d7,95.59,,
o7,d7,95.59,,
o7,d7,95.59,,
o7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
m7,d7,95.59,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
d7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
m7,d7,95.94,,
d7,d7,97.27,,
d7,d7,97.27,,
d7,d7,97.27,,
d7,d7,97.27,,
d7,d7,97.27,,
d7,d7,97.27,,
d7,d7,97.27,,
d7,d7,97.27,,
d7,d7,97.27,,
d7,d7,97.27,,
d7,d7,97.27,,
d7,d7,97.27,,
o7,d7,97.27,,
o7,d7,97.27,,
o7,d7,97.27,,
o7,d7,97.27,,
o7,d7,97.27,,
m7,d7,97.27,,
m7,d7,97.27,,
m7,d7,97.27,,
m7,d7,97.27,,
m7,d7,97.27,,
m7,d7,97.27,,
m7,d7,97.27,,
m7,d7,97.27,,
m7,d7,97.27,,
m7,d7,97.27,,
m7,d7,97.27,,
m7,d7,97.27,,
m7,d7,97.27,,
m7,d7,97.27,,
m7,d7,97.27,,
m7,d7,97.27,,
m7,d7,97.27,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
d7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
o7,d7,94.2,,
m7,d7,94.2,,
m7,d7,94.2,,
m7,d7,94.2,,
m7,d7,94.2,,
m7,d7,94.2,,
m7,d7,94.2,,
m7,d7,94.2,,
m7,d7,94.2,,
m7,d7,94.2,,
m7,d7,94.2,,
m7,d7,94.2,,
d19,d7,94.2,,
o16,d7,94.2,,
d19,d7,94.2,,
d19,d7,94.2,,
o19,d7,94.2,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
d7,d7,96.55,,
o7,d7,96.55,,
o7,d7,96.55,,
o7,d7,96.55,,
o7,d7,96.55,,
o7,d7,96.55,,
o7,d7,96.55,,
o7,d7,96.55,,
o7,d7,96.55,,
o7,d7,96.55,,
o7,d7,96.55,,
o7,d7,96.55,,
o7,d7,96.55,,
o7,d7,96.55,,
o7,d7,96.55,,
o7,d7,96.55,,
m7,d7,96.55,,
m7,d7,96.55,,
m7,d7,96.55,,
m7,d7,96.55,,
m7,d7,96.55,,
m7,d7,96.55,,
m7,d7,96.55,,
