bed,aimedat,average,,min 20  darts at double
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
d7,d7,93.23,,
d7,d7,93.23,,
d7,d7,93.23,,
d7,d7,93.23,,
d7,d7,93.23,,
d7,d7,93.23,,
d7,d7,93.23,,
d7,d7,93.23,,
d7,d7,93.23,,
d7,d7,93.23,,
d7,d7,93.23,,
d7,d7,93.23,,
d7,d7,93.23,,
d7,d7,93.23,,
d7,d7,93.23,,
o7,d7,93.23,,
o7,d7,93.23,,
o7,d7,93.23,,
o7,d7,93.23,,
o7,d7,93.23,,
m7,d7,93.23,,
m7,d7,93.23,,
m7,d7,93.23,,
m7,d7,93.23,,
m7,d7,93.23,,
m7,d7,93.23,,
m7,d7,93.23,,
o16,d7,93.23,,
